# Region type : patch sphere
#      Faces  : 40
#      Area   : 6.276727658e-02
#           Time	areaAverage(p)	areaAverage(U)
         0.00425	1.013235179e+05	(6.747408788e-20 0.000000000e+00 2.698963515e-20)
        0.004275	1.013233606e+05	(-5.397927031e-20 0.000000000e+00 6.747408788e-20)
          0.0043	1.013232030e+05	(-4.048445273e-20 0.000000000e+00 -6.747408788e-20)
        0.004325	1.013230451e+05	(2.698963515e-20 0.000000000e+00 -2.698963515e-20)
         0.00435	1.013228869e+05	(4.048445273e-20 0.000000000e+00 8.096890546e-20)
        0.004375	1.013227283e+05	(-1.754326285e-19 0.000000000e+00 1.754326285e-19)
          0.0044	1.013225693e+05	(-2.698963515e-20 0.000000000e+00 -8.096890546e-20)
        0.004425	1.013224098e+05	(2.698963515e-20 0.000000000e+00 8.096890546e-20)
         0.00445	1.013222499e+05	(1.349481758e-20 0.000000000e+00 8.096890546e-20)
        0.004475	1.013220897e+05	(-4.723186152e-20 0.000000000e+00 1.619378109e-19)
          0.0045	1.013219290e+05	(-1.349481758e-20 0.000000000e+00 1.349481758e-20)
        0.004525	1.013217679e+05	(2.698963515e-20 0.000000000e+00 -1.349481758e-20)
         0.00455	1.013216065e+05	(-6.747408788e-21 0.000000000e+00 6.747408788e-21)
        0.004575	1.013214448e+05	(1.349481758e-20 0.000000000e+00 2.698963515e-20)
          0.0046	1.013212830e+05	(6.072667909e-20 0.000000000e+00 4.723186152e-20)
        0.004625	1.013211210e+05	(-3.373704394e-20 0.000000000e+00 4.048445273e-20)
         0.00465	1.013209590e+05	(6.747408788e-21 0.000000000e+00 -6.747408788e-21)
        0.004675	1.013207971e+05	(-3.373704394e-20 0.000000000e+00 8.771631425e-20)
          0.0047	1.013206354e+05	(4.048445273e-20 0.000000000e+00 -3.373704394e-20)
        0.004725	1.013204740e+05	(-3.373704394e-20 0.000000000e+00 8.771631425e-20)
         0.00475	1.013203131e+05	(4.048445273e-20 0.000000000e+00 1.686852197e-20)
        0.004775	1.013201528e+05	(-1.686852197e-20 0.000000000e+00 -9.109001864e-20)
          0.0048	1.013199933e+05	(3.373704394e-21 0.000000000e+00 0.000000000e+00)
        0.004825	1.013198348e+05	(0.000000000e+00 0.000000000e+00 0.000000000e+00)
         0.00485	1.013196772e+05	(1.686852197e-20 0.000000000e+00 -4.385815712e-20)
        0.004875	1.013195209e+05	(6.241353129e-20 0.000000000e+00 -5.060556591e-20)
          0.0049	1.013193658e+05	(1.686852197e-20 0.000000000e+00 -1.518166977e-20)
        0.004925	1.013192122e+05	(-5.060556591e-21 0.000000000e+00 5.060556591e-21)
         0.00495	1.013190599e+05	(8.434260985e-22 0.000000000e+00 0.000000000e+00)
        0.004975	1.013189092e+05	(8.434260985e-22 0.000000000e+00 5.903982690e-21)
           0.005	1.013187598e+05	(1.841019763e-32 0.000000000e+00 -1.534183136e-32)
        0.005025	1.013186117e+05	(-4.217130493e-22 0.000000000e+00 4.217130493e-22)
         0.00505	1.013184644e+05	(1.686852197e-21 0.000000000e+00 -2.530278296e-21)
        0.005075	1.013183171e+05	(-3.373704394e-21 0.000000000e+00 -1.012111318e-20)
          0.0051	1.013181684e+05	(-1.686852197e-21 0.000000000e+00 1.686852197e-21)
        0.005125	1.013180308e+05	(-1.012111318e-20 0.000000000e+00 -1.855537417e-20)
         0.00515	1.013179046e+05	(-1.012111318e-20 0.000000000e+00 6.747408788e-21)
        0.005175	1.013177880e+05	(-5.397927031e-20 0.000000000e+00 5.060556591e-20)
          0.0052	1.013176796e+05	(3.373704394e-21 0.000000000e+00 -1.349481758e-20)
        0.005225	1.013175782e+05	(-1.686852197e-20 0.000000000e+00 -3.711074834e-20)
         0.00525	1.013174824e+05	(-1.012111318e-20 0.000000000e+00 6.747408788e-21)
        0.005275	1.013173907e+05	(-3.373704394e-21 0.000000000e+00 6.747408788e-21)
          0.0053	1.013173016e+05	(1.349481758e-20 0.000000000e+00 -6.072667909e-20)
        0.005325	1.013172137e+05	(4.048445273e-20 0.000000000e+00 -4.048445273e-20)
         0.00535	1.013171257e+05	(6.747408788e-21 0.000000000e+00 0.000000000e+00)
        0.005375	1.013170364e+05	(0.000000000e+00 0.000000000e+00 1.012111318e-19)
          0.0054	1.013169451e+05	(2.024222636e-20 0.000000000e+00 -2.024222636e-20)
        0.005425	1.013168509e+05	(-6.747408788e-20 0.000000000e+00 5.397927031e-20)
         0.00545	1.013167536e+05	(8.096890546e-20 0.000000000e+00 -8.096890546e-20)
        0.005475	1.013166529e+05	(6.747408788e-20 0.000000000e+00 -5.397927031e-20)
          0.0055	1.013165490e+05	(-1.551904021e-19 0.000000000e+00 3.373704394e-20)
        0.005525	1.013164421e+05	(6.747408788e-20 0.000000000e+00 -5.397927031e-20)
         0.00555	1.013163326e+05	(-6.072667909e-20 0.000000000e+00 6.747408788e-20)
        0.005575	1.013162212e+05	(2.698963515e-20 0.000000000e+00 -1.349481758e-19)
          0.0056	1.013161087e+05	(-4.048445273e-20 0.000000000e+00 4.048445273e-20)
        0.005625	1.013159958e+05	(4.048445273e-20 0.000000000e+00 -1.484429933e-19)
